#  aims_uuid : 222F905C-D19D-4B41-A54F-3F46AF5E1A00                                
# Angular momentum resolved density for species Sbas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -24.67596760        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.67196720        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.66796680        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.66396640        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.65996600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.65596560        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.65196520        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.64796480        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.64396440        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.63996400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.63596360        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.63196320        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.62796280        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.62396240        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.61996200        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.61596160        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.61196120        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.60796080        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.60396040        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.59996000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.59595960        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.59195920        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.58795880        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.58395840        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.57995800        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.57595760        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.57195720        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.56795680        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.56395640        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.55995600        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.55595560        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.55195520        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.54795480        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.54395440        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.53995400        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.53595360        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.53195320        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -24.52795280        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
