# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -25.00000000          0.00000000
        -24.99599960          0.00000000
        -24.99199920          0.00000000
        -24.98799880          0.00000000
        -24.98399840          0.00000000
        -24.97999800          0.00000000
        -24.97599760          0.00000000
        -24.97199720          0.00000000
        -24.96799680          0.00000000
        -24.96399640          0.00000000
        -24.95999600          0.00000000
        -24.95599560          0.00000000
        -24.95199520          0.00000000
        -24.94799480          0.00000000
        -24.94399440          0.00000000
        -24.93999400          0.00000000
        -24.93599360          0.00000000
        -24.93199320          0.00000000
        -24.92799280          0.00000000
        -24.92399240          0.00000000
        -24.91999200          0.00000000
        -24.91599160          0.00000000
        -24.91199120          0.00000000
        -24.90799080          0.00000000
        -24.90399040          0.00000000
        -24.89999000          0.00000000
        -24.89598960          0.00000000
        -24.89198920          0.00000000
        -24.88798880          0.00000000
        -24.88398840          0.00000000
        -24.87998800          0.00000000
        -24.87598760          0.00000000
        -24.87198720          0.00000000
        -24.86798680          0.00000000
        -24.86398640          0.00000000
        -24.85998600          0.00000000
        -24.85598560          0.00000000
        -24.85198520          0.00000000
        -24.84798480          0.00000000
        -24.84398440          0.00000000
        -24.83998400          0.00000000
        -24.83598360          0.00000000
        -24.83198320          0.00000000
        -24.82798280          0.00000000
        -24.82398240          0.00000000
        -24.81998200          0.00000000
        -24.81598160          0.00000000
        -24.81198120          0.00000000
        -24.80798080          0.00000000
        -24.80398040          0.00000000
        -24.79998000          0.00000000
        -24.79597960          0.00000000
        -24.79197920          0.00000000
        -24.78797880          0.00000000
        -24.78397840          0.00000000
        -24.77997800          0.00000000
        -24.77597760          0.00000000
        -24.77197720          0.00000000
        -24.76797680          0.00000000
        -24.76397640          0.00000000
        -24.75997600          0.00000000
        -24.75597560          0.00000000
        -24.75197520          0.00000000
        -24.74797480          0.00000000
        -24.74397440          0.00000000
        -24.73997400          0.00000000
        -24.73597360          0.00000000
        -24.73197320          0.00000000
        -24.72797280          0.00000000
        -24.72397240          0.00000000
        -24.71997200          0.00000000
        -24.71597160          0.00000000
        -24.71197120          0.00000000
        -24.70797080          0.00000000
        -24.70397040          0.00000000
        -24.69997000          0.00000000
        -24.69596960          0.00000000
        -24.69196920          0.00000000
        -24.68796880          0.00000000
        -24.68396840          0.00000000
        -24.67996800          0.00000000
        -24.67596760          0.00000000
        -24.67196720          0.00000000
        -24.66796680          0.00000000
        -24.66396640          0.00000000
        -24.65996600          0.00000000
        -24.65596560          0.00000000
        -24.65196520          0.00000000
        -24.64796480          0.00000000
        -24.64396440          0.00000000
        -24.63996400          0.00000000
        -24.63596360          0.00000000
        -24.63196320          0.00000000
        -24.62796280          0.00000000
        -24.62396240          0.00000000
        -24.61996200          0.00000000
        -24.61596160          0.00000000
        -24.61196120          0.00000000
        -24.60796080          0.00000000
        -24.60396040          0.00000000
        -24.59996000          0.00000000
        -24.59595960          0.00000000
        -24.59195920          0.00000000
        -24.58795880          0.00000000
        -24.58395840          0.00000000
        -24.57995800          0.00000000
        -24.57595760          0.00000000
        -24.57195720          0.00000000
        -24.56795680          0.00000000
        -24.56395640          0.00000000
        -24.55995600          0.00000000
        -24.55595560          0.00000000
        -24.55195520          0.00000000
        -24.54795480          0.00000000
        -24.54395440          0.00000000
        -24.53995400          0.00000000
        -24.53595360          0.00000000
        -24.53195320          0.00000000
        -24.52795280          0.00000000
        -24.52395240          0.00000000
        -24.51995200          0.00000000
        -24.51595160          0.00000000
        -24.51195120          0.00000000
        -24.50795080          0.00000000
        -24.50395040          0.00000000
        -24.49994999          0.00000000
        -24.49594959          0.00000000
        -24.49194919          0.00000000
        -24.48794879          0.00000000
        -24.48394839          0.00000000
        -24.47994799          0.00000000
        -24.47594759          0.00000000
        -24.47194719          0.00000000
        -24.46794679          0.00000000
        -24.46394639          0.00000000
        -24.45994599          0.00000000
        -24.45594559          0.00000000
        -24.45194519          0.00000000
        -24.44794479          0.00000000
        -24.44394439          0.00000000
        -24.43994399          0.00000000
        -24.43594359          0.00000000
        -24.43194319          0.00000000
        -24.42794279          0.00000000
        -24.42394239          0.00000000
        -24.41994199          0.00000000
        -24.41594159          0.00000000
        -24.41194119          0.00000000
        -24.40794079          0.00000000
        -24.40394039          0.00000000
        -24.39993999          0.00000000
        -24.39593959          0.00000000
        -24.39193919          0.00000000
        -24.38793879          0.00000000
        -24.38393839          0.00000000
        -24.37993799          0.00000000
        -24.37593759          0.00000000
        -24.37193719          0.00000000
        -24.36793679          0.00000000
        -24.36393639          0.00000000
        -24.35993599          0.00000000
